name	title	country	host	date
KM267797.1	Influenza A virus (A/chicken/Bangladesh/13VIR5602-1/2013(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Bangladesh	Gallus gallus	2013-XX-XX
KM267805.1	Influenza A virus (A/chicken/Bangladesh/13VIR5602-2/2013(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Bangladesh	Gallus gallus	2013-XX-XX
KM267842.1	Influenza A virus (A/duck/Bangladesh/14VIR1121-17/2013(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Bangladesh	Anatidae	2013-07-19
KM267850.1	Influenza A virus (A/duck/Bangladesh/14VIR1121-18/2013(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Bangladesh	Anatidae	2013-04-14
KM267858.1	Influenza A virus (A/environment/Bangladesh/14VIR1121-28/2013(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Bangladesh		2013-XX-XX
KM267868.1	Influenza A virus (A/chicken/Bangladesh/14VIR2665-23/2014(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Bangladesh	Gallus gallus	2014-03-26
KM267876.1	Influenza A virus (A/chicken/Bangladesh/14VIR2665-24/2014(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Bangladesh	Gallus gallus	2014-03-26
KM244122.1	Influenza A virus (A/chicken/Libya/14VIR2749-16/2014(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Libya	Gallus gallus	2014-XX-XX
AB979487.1	Influenza A virus (A/muscovy duck/Vietnam/LBM635/2014(H5N1)) HA gene for haemagglutinin, complete cds, segment 4	Viet Nam	Cairina moschata	2014-04-15
KM213391.1	Influenza A virus (A/ruddy turnstone/Iceland/2899/2013(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Iceland	Arenaria interpres	2013-05-23
KJ938658.1	Influenza A virus (A/environment/Zhenjiang/C13/2013(H5N6)) segment 4 hemagglutinin (HA) gene, complete cds	China		2013-12-20
KM190930.1	Influenza A virus (A/chicken/Scotland/1959(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	United Kingdom	Gallus gallus	1959-XX-XX
KM190931.1	Influenza A virus (A/duck/Potsdam/2216/1984(H5N6)) segment 4 hemagglutinin (HA) gene, partial cds	Germany	Anatidae	1984-XX-XX
KM190932.1	Influenza A virus (A/duck/Germany/R751/2006(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Germany	Anatidae	2006-XX-XX
KF277182.1	Influenza A virus (A/Viet Nam/CM32/2011(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Viet Nam	Homo sapiens	2011-10-19
KF501050.1	Influenza A virus (A/wild bird/Mongolia/2066/2011(H5N3)) segment 4 hemagglutinin (HA) gene, complete cds	Mongolia	Aves	2011-10-08
KF501051.1	Influenza A virus (A/tundra swan/Mongolia/1T2/2010(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Mongolia	Cygnus columbianus	2010-05-18
KF501052.1	Influenza A virus (A/herring gull/Mongolia/616T2/2009(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Mongolia	Larus argentatus	2009-07-29
KF501061.1	Influenza A virus (A/herring gull/Mongolia/834T2/2009(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Mongolia	Larus argentatus	2009-08-01
KF501065.1	Influenza A virus (A/herring gull/Mongolia/833T2/2009(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Mongolia	Larus argentatus	2009-08-01
KF501076.1	Influenza A virus (A/common shelduck/Mongolia/2187/2011(H5N3)) segment 4 hemagglutinin (HA) gene, complete cds	Mongolia	Tadorna tadorna	2011-10-09
KM070505.1	Influenza A virus (A/turkey/Egypt/Fay-1/2014(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Egypt	Meleagris gallopavo	2014-02-25
KM070506.1	Influenza A virus (A/duck/Egypt/Fay-5/2014(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Egypt	Anatidae	2014-03-15
KM027999.1	Influenza A virus (A/swine/Guangxi/592/2011(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	China	Sus scrofa	2011-02-27
AB972731.1	Influenza A virus (A/duck/Vietnam/LBM578/2014(H5N1)) viral cRNA, segment 4, complete sequence	Viet Nam	Anas platyrhynchos	2014-01-08
KF183616.1	Influenza A virus (A/mallard/Finland/13748/2007(H5N2)) segment 4 hemagglutinin (HA) gene, complete cds	Finland	Anas platyrhynchos	2007-XX-XX
KJ917546.1	Influenza A virus (A/duck/Nigera/13RS-1113-3/2012(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Nigeria	Anatidae	2012-02-13
KF918456.1	Influenza A virus (A/Cambodia/X0628313/2013(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Cambodia	Homo sapiens	2013-06-28
KF918464.1	Influenza A virus (A/Cambodia/X0808305/2013(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Cambodia	Homo sapiens	2013-07-08
KF918478.1	Influenza A virus (A/chicken/Cambodia/X0815301/2013(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Cambodia	Gallus gallus	2013-08-13
KF918506.1	Influenza A virus (A/Cambodia/X0913301/2013(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Cambodia	Homo sapiens	2013-09-13
KF918514.1	Influenza A virus (A/Cambodia/X0916322/2013(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Cambodia	Homo sapiens	2013-09-16
KF918519.1	Influenza A virus (A/environment/Cambodia/C1154W38M1/2013(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Cambodia		2013-09-17
KF918521.1	Influenza A virus (A/environment/Cambodia/C1190W38M4/2013(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Cambodia		2013-09-16
KF918523.1	Influenza A virus (A/environment/Cambodia/E1178W38M3pop661C/2013(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Cambodia		2013-09-18
KF042284.1	Influenza A virus (A/hill myna/Heilongjiang/0704/2012(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	China	Gracula religiosa	2012-07-04
KJ720208.1	Influenza A virus (A/chicken/Taiwan/0502/2012(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Taiwan	Gallus gallus	2012-05-08
KJ719459.1	Influenza A virus (A/chicken/Hebei/1102-MA/2010(H5N2)) segment 4 hemagglutinin (HA) gene, complete cds	China	Gallus gallus	2010-05-XX
CY184141.1	Influenza A virus (A/mallard/Sweden/58705/2006(H5N2)) hemagglutinin (HA) gene, complete cds	Sweden	Anas platyrhynchos	2006-11-08
CY186584.1	Influenza A virus (A/gadwall/Ohio/12OS5640/2012(H5N2)) HA gene, partial sequence	USA	Mareca strepera	2012-11-10
CY186592.1	Influenza A virus (A/American black duck/Ohio/12OS5557/2012(H5N2)) hemagglutinin (HA) gene, partial cds	USA	Anas rubripes	2012-11-17
CY186667.1	Influenza A virus (A/mallard/Illinois/12OS5080/2012(H5N1)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	2012-10-20
CY186788.1	Influenza A virus (A/American green-winged teal/Mississippi/12OS5061/2012(H5N2)) hemagglutinin (HA) gene, complete cds	USA	Anas carolinensis	2012-12-08
CY186981.1	Influenza A virus (A/gadwall/Ohio/12OS5632/2012(H5N2)) hemagglutinin (HA) gene, complete cds	USA	Mareca strepera	2012-11-10
CY187005.1	Influenza A virus (A/mallard/Ohio/12OS2218/2012(H5N1)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	2012-11-16
KJ476669.1	Influenza A virus (A/duck/Zhejiang/W24/2013(H5N8)) segment 4 hemagglutinin (HA) gene,complete cds	China	Anatidae	2013-11-14
KJ476670.1	Influenza A virus (A/duck/Zhejiang/6D18/2013(H5N8)) segment 4 hemagglutinin (HA) gene,complete cds	China	Anatidae	2013-12-14
KJ682228.1	Influenza A virus (A/yellow billed duck/Bhutan/358/2012(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Bhutan	Anas platyrhynchos	2012-01-30
KJ682230.1	Influenza A virus (A/chicken/Bhutan/352/2012(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Bhutan	Gallus gallus	2012-01-30
KJ682232.1	Influenza A virus (A/chicken/Bhutan/347/2012(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Bhutan	Gallus gallus	2012-01-29
KJ682236.1	Influenza A virus (A/chicken/Bhutan/331/2012(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Bhutan	Gallus gallus	2012-01-27
KJ682238.1	Influenza A virus (A/chicken/Bhutan/359/2012(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Bhutan	Gallus gallus	2012-01-30
KJ682254.1	Influenza A virus (A/chicken/Bhutan/935/2012(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Bhutan	Gallus gallus	2012-10-11
KJ682264.1	Influenza A virus (A/chicken/Bhutan/1029/2012(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Bhutan	Gallus gallus	2012-03-18
KJ682268.1	Influenza A virus (A/chicken/Bhutan/346/2012(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Bhutan	Gallus gallus	2012-01-29
KJ682272.1	Influenza A virus (A/wild bird/Bhutan/327/2012(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Bhutan	Aves	2012-01-27
KJ682278.1	Influenza A virus (A/chicken/Bhutan/298/2012(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Bhutan	Gallus gallus	2012-02-11
KJ682282.1	Influenza A virus (A/chicken/Bhutan/416/2012(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Bhutan	Gallus gallus	2012-02-18
KJ682292.1	Influenza A virus (A/chicken/Bhutan/349/2012(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Bhutan	Gallus gallus	2012-01-29
KJ682294.1	Influenza A virus (A/chicken/Bhutan/297/2012(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Bhutan	Gallus gallus	2012-02-11
KJ682298.1	Influenza A virus (A/wild bird/Bhutan/356/2012(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Bhutan	Aves	2012-01-30
KJ682302.1	Influenza A virus (A/chicken/Bhutan/505/2012(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Bhutan	Gallus gallus	2012-01-23
KJ682304.1	Influenza A virus (A/chicken/Bhutan/265/2012(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Bhutan	Gallus gallus	2012-02-14
KJ682308.1	Influenza A virus (A/chicken/Bhutan/259/2012(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Bhutan	Gallus gallus	2012-02-14
KJ682314.1	Influenza A virus (A/chicken/Bhutan/257/2012(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Bhutan	Gallus gallus	2012-02-14
AB932556.1	Influenza A virus (A/chicken/kumamoto/1-7/2014(H5N8)) HA gene for hemagglutinin, complete cds	Japan	Gallus gallus	2014-04-13
CY178062.1	Influenza A virus (A/mallard/Wisconsin/994/1982(H5N2)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	1982-XX-XX
CY178070.1	Influenza A virus (A/mallard/Wisconsin/996/1982(H5N2)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	1982-XX-XX
CY178078.1	Influenza A virus (A/mallard/Wisconsin/99/1982(H5N2)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	1982-XX-XX
CY178086.1	Influenza A virus (A/widgeon/Wisconsin/493/1983(H5N2)) hemagglutinin (HA) gene, complete cds	USA	Mareca penelope	1983-XX-XX
CY178094.1	Influenza A virus (A/blue-winged teal/Wisconsin/568/1983(H5N2)) hemagglutinin (HA) gene, complete cds	USA	Spatula discors	1983-XX-XX
CY178102.1	Influenza A virus (A/mallard/Wisconsin/598/1983(H5N2)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	1983-XX-XX
CY178110.1	Influenza A virus (A/mallard/Wisconsin/1616/1983(H5N2)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	1983-XX-XX
CY178118.1	Influenza A virus (A/mallard/Wisconsin/1622/1983(H5N2)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	1983-XX-XX
CY178126.1	Influenza A virus (A/mallard/Wisconsin/1623/1983(H5N2)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	1983-XX-XX
CY178623.1	Influenza A virus (A/mallard/Wisconsin/487/1983(H5N2)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	1983-XX-XX
CY178647.1	Influenza A virus (A/mallard/Saskatchewan/17/1981(H5N2)) hemagglutinin (HA) gene, complete cds	Canada	Anas platyrhynchos	1981-XX-XX
