name	title	country	host	date
AB558457.1	Influenza A virus (A/turkey/Minnesota/3689-1551/1981(H5N2)) HA gene for hemagglutinin, complete cds	Turkey	Meleagris gallopavo	1981-XX-XX
AB558458.1	Influenza A virus (A/duck/Shizuoka/40/2002(H5N3)) HA gene for hemagglutinin, complete cds	Japan	Anas platyrhynchos	2002-XX-XX
AB558459.1	Influenza A virus (A/mallard/Miyagi/53/1976(H5N3)) HA gene for hemagglutinin, complete cds	Japan	Anas platyrhynchos	1976-XX-XX
AB558460.1	Influenza A virus (A/duck/Tsukuba/394/2005(H5N3)) HA gene for hemagglutinin, complete cds	Japan	Anas platyrhynchos	2005-XX-XX
AB558461.1	Influenza A virus (A/duck/Tsukuba/419/2005(H5N3)) HA gene for hemagglutinin, complete cds	Japan	Anas platyrhynchos	2005-XX-XX
AB558462.1	Influenza A virus (A/turkey/California/21860/1984(H5N3)) HA gene for hemagglutinin, complete cds	Turkey	Meleagris gallopavo	1984-XX-XX
AB558463.1	Influenza A virus (A/chicken/Pennsylvania/1370/1983(H5N2)) HA gene for hemagglutinin, complete cds		Gallus gallus	1983-XX-XX
AB558464.1	Influenza A virus (A/duck/Tsukuba/9/2005(H5N2)) HA gene for hemagglutinin, complete cds	Japan	Anas platyrhynchos	2005-XX-XX
AB558465.1	Influenza A virus (A/duck/Tsukuba/63/2005(H5N2)) HA gene for hemagglutinin, complete cds	Japan	Anas platyrhynchos	2005-XX-XX
AB558466.1	Influenza A virus (A/duck/Tsukuba/168/2005(H5N2)) HA gene for hemagglutinin, complete cds	Japan	Anas platyrhynchos	2005-XX-XX
AB558467.1	Influenza A virus (A/duck/Chiba/1/2006(H5N3)) HA gene for hemagglutinin, complete cds	Japan	Anas platyrhynchos	2006-XX-XX
AB558468.1	Influenza A virus (A/duck/Niigata/514/2006(H5N3)) HA gene for hemagglutinin, complete cds	Japan	Anas platyrhynchos	2006-XX-XX
AB558469.1	Influenza A virus (A/duck/Tsukuba/536/2006(H5N2)) HA gene for hemagglutinin, complete cds	Japan	Anas platyrhynchos	2006-XX-XX
AB558470.1	Influenza A virus (A/duck/Tsukuba/541/2006(H5N2)) HA gene for hemagglutinin, complete cds	Japan	Anas platyrhynchos	2006-XX-XX
AB558471.1	Influenza A virus (A/duck/Shimane/19/2006(H5N2)) HA gene for hemagglutinin, complete cds	Japan	Anas platyrhynchos	2006-XX-XX
AB558472.1	Influenza A virus (A/duck/Shimane/02/2007(H5N2)) HA gene for hemagglutinin, complete cds	Japan	Anas platyrhynchos	2007-XX-XX
AB558473.1	Influenza A virus (A/chicken/Puebla/8623-607/1994(H5N2)) HA gene for hemagglutinin, complete cds		Gallus gallus	1994-XX-XX
AB558474.1	Influenza A virus (A/chicken/Queretaro/14588-19/1995(H5N2)) HA gene for hemagglutinin, complete cds		Gallus gallus	1995-XX-XX
AB558475.1	Influenza A virus (A/chicken/Texas/298313/2004(H5N2)) HA gene for hemagglutinin, complete cds		Gallus gallus	2004-XX-XX
AB558476.1	Influenza A virus (A/duck/Niigata/477/2007(H5N2)) HA gene for hemagglutinin, complete cds	Japan	Anas platyrhynchos	2007-XX-XX
AB558477.1	Influenza A virus (A/duck/Niigata/536/2007(H5N2)) HA gene for hemagglutinin, complete cds	Japan	Anas platyrhynchos	2007-XX-XX
AB558478.1	Influenza A virus (A/duck/Niigata/554/2007(H5N2)) HA gene for hemagglutinin, complete cds	Japan	Anas platyrhynchos	2007-XX-XX
AB558479.1	Influenza A virus (A/duck/Tsukuba/189/2008(H5N2)) HA gene for hemagglutinin, complete cds	Japan	Anas platyrhynchos	2008-XX-XX
CY061294.1	Influenza A virus (A/chicken/West Bengal/239020/2010(H5N1)) segment 4 sequence	India	Gallus gallus	2010-01-12
CY061302.1	Influenza A virus (A/chicken/West Bengal/239022/2010(H5N1)) segment 4 sequence	India	Gallus gallus	2010-01-12
GU083637.1	Influenza A virus (A/chicken/West Bengal/100879/2008(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	India	Gallus gallus	2008-03-23
GU083645.1	Influenza A virus (A/chicken/West Bengal/82613/2008(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	India	Gallus gallus	2008-01-25
GU083653.1	Influenza A virus (A/chicken/West Bengal/162642/2009(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	India	Gallus gallus	2009-02-15
GU083661.1	Influenza A virus (A/chicken/West Bengal/170564/2009(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	India	Gallus gallus	2009-03-09
GU271998.1	Influenza A virus (A/chicken/West Bengal/155505/2009(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	India	Gallus gallus	2009-01-XX
GU272006.1	Influenza A virus (A/chicken/West Bengal/193936/2009(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	India	Gallus gallus	2009-05-XX
GU356583.1	Influenza A virus (A/chicken/West Bengal/148713/2009(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	India	Gallus gallus	2009-01-XX
