name	title	country	host	date
PQ832789.1	"Influenza A virus (A/cattle/TX/24-026360-014-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Bos taurus"	2024-05-21
PQ833605.1	"Influenza A virus (A/chicken/CA/24-037217-019-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Gallus gallus"	2024-12-10
PP760204.1	"Influenza A virus (A/Avian/Nigeria/2-8C/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Nigeria	Aves	2022-08-02
PQ797129.1	"Influenza A virus (A/Dove/HI/24-033876-005-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	Columbidae	2024-11-12
PQ797393.1	"Influenza A virus (A/chicken/CA/24-031285-002-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Gallus gallus"	2024-10-16
PQ736123.1	"Influenza A virus (A/swan/Germany-HE/2024AI04242/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Germany	Anatidae	2024-09-17
PQ736144.1	"Influenza A virus (A/swan/Germany-HH/2024AI04293/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Germany	Anatidae	2024-10-08
PQ736216.1	"Influenza A virus (A/Mute Swan/Germany-MV/2024AI03518/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Germany	"Cygnus olor"	2024-07-19
PQ736240.1	"Influenza A virus (A/chicken/Germany-SH/2024AI05008/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Germany	"Gallus gallus"	2024-11-22
PQ736248.1	"Influenza A virus (A/domestic duck/Germany-MV/2024AI04001/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Germany	"Anas platyrhynchos"	2024-08-11
PQ736256.1	"Influenza A virus (A/domestic goose/Germany-SN/2024AI04250/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Germany	Anser	2024-09-26
PQ736264.1	"Influenza A virus (A/swan/Germany-BY/2024AI04832/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Germany	Anatidae	2024-11-04
PQ736296.1	"Influenza A virus (A/swan/Germany-ST/2024AI04233/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Germany	Anatidae	2024-09-11
OR349633.1	"Influenza A virus (A/Mute swan/Mangystau/9421/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Kazakhstan	"Cygnus olor"	2022-12-21
PQ722568.1	"Influenza A virus (A/Ostrich/China/HB/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	China	"Struthio camelus"	2024-07-12
PQ724322.1	"Influenza A virus (A/duck/Egypt/BA20361C/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Egypt	"Anas sp."	2022-03-30
PQ701705.1	"Influenza A virus (A/American green-winged teal/ID/22-034533-007-original-repeat2/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Anas carolinensis"	2022-10-01
PQ702721.1	"Influenza A virus (A/Bald eagle/IL/22-014028-001-original/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Haliaeetus leucocephalus"	2022-04-28
PQ705737.1	"Influenza A virus (A/Blue-winged teal/KS/23-030994-014-original/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Spatula discors"	2023-10-07
PQ707641.1	"Influenza A virus (A/Canada goose/CO/23-000622-001-original/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Branta canadensis"	2023-01-04
PQ707665.1	"Influenza A virus (A/Canada goose/CO/23-003284-001-original/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Branta canadensis"	2023-01-20
PQ709241.1	"Influenza A virus (A/Canada goose/WY/23-002120-001-original/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Branta canadensis"	2023-01-11
PQ709561.1	"Influenza A virus (A/Common tern/ME/22-020831-002-original/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Sterna hirundo"	2022-06-23
PQ710001.1	"Influenza A virus (A/Eared grebe/UT/22-030915-001-original/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA		2022-09-27
PQ710217.1	"Influenza A virus (A/Gadwall/MT/23-029480-008-original/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Mareca strepera"	2023-09-23
PQ710625.1	"Influenza A virus (A/Great black-backed Gull/MA/23-004612-003-original/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Larus marinus"	2023-02-03
PQ713113.1	"Influenza A virus (A/Mallard/CA/22-025261-008-original/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Anas platyrhynchos"	2022-08-08
PQ713177.1	"Influenza A virus (A/Mallard/ID/23-028151-007-original/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Anas platyrhynchos"	2023-09-11
PQ713545.1	"Influenza A virus (A/Mallard/MN/23-008404-022-original/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Anas platyrhynchos"	2023-03-07
PQ713785.1	"Influenza A virus (A/Mallard/NY/23-004807-013-original/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Anas platyrhynchos"	2023-02-01
PQ713825.1	"Influenza A virus (A/Mallard/NY/23-004808-016-original/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Anas platyrhynchos"	2023-02-02
PQ685010.1	"Influenza A virus (A/Common crane/Serbia/12661/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Serbia		2023-11-15
PQ278123.1	"Influenza A virus (A/chicken/China/Cangzhou03/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	China	"Gallus gallus"	2023-12-28
PQ395270.1	"Influenza A virus (A/duck/Egypt/F653-10/2022(H5N8)) segment 4 hemagglutinin (HA) gene, complete cds"	Egypt	Anatidae	2022-01-22
PQ395279.1	"Influenza A virus (A/duck/Egypt/F653-24/2022(H5N8)) segment 4 hemagglutinin (HA) gene, complete cds"	Egypt	Anatidae	2022-01-22
PQ395283.1	"Influenza A virus (A/duck/Egypt/F653-30/2022(H5N8)) segment 4 hemagglutinin (HA) gene, complete cds"	Egypt	Anatidae	2022-01-22
PQ118169.1	"Influenza A virus (A/Harbor seal/Washington/W232490069-3/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Phoca vitulina"	2023-08-13
PQ643393.1	"Influenza A virus (A/Cygnus olor/Seedorf/V390/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Switzerland	"Cygnus olor"	2024-11-10
PQ643771.1	"Influenza A virus (A/Chroicocephalus ridibundus/Neerach/V0559/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Switzerland	"Chroicocephalus ridibundus"	2023-05-09
PQ643964.1	"Influenza A virus (A/Chroicocephalus ridibundus/Biel/V0348/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Switzerland	"Chroicocephalus ridibundus"	2023-03-16
PQ645039.1	"Influenza A virus (A/Chroicocephalus ridibundus/Greifensee/V0338/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Switzerland	"Chroicocephalus ridibundus"	2023-03-14
PQ645047.1	"Influenza A virus (A/Chroicocephalus ridibundus/Greifensee/V0336/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Switzerland	"Chroicocephalus ridibundus"	2023-03-14
PP922943.1	"Influenza A virus (A/Radjah shelduck/Northern Territory/20231282-03/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Australia		2023-10-30
PP922951.1	"Influenza A virus (A/Pacific black duck/Victoria/17363/2023(H5N3)) segment 4 hemagglutinin (HA) gene, complete cds"	Australia	"Anas superciliosa"	2023-06-22
PP922959.1	"Influenza A virus (A/wild waterbird/Queensland/P23-02457-48/2023(H5N3)) segment 4 hemagglutinin (HA) gene, complete cds"	Australia		2023-06-23
PP922967.1	"Influenza A virus (A/wild waterbird/Queensland/P23-02457-51/2023(H5N3)) segment 4 hemagglutinin (HA) gene, complete cds"	Australia		2023-06-23
PP922975.1	"Influenza A virus (A/wild waterbird/South Australia/23-80999145-13/2023(H5N9)) segment 4 hemagglutinin (HA) gene, complete cds"	Australia		2023-07-31
PP732683.1	"Influenza A virus (A/chicken/Philippines/BA-MHN/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Philippines	"Gallus gallus"	2022-07-08
PP732691.1	"Influenza A virus (A/chicken/Philippines/BA-PTY/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Philippines	"Gallus gallus"	2022-07-08
PQ109025.1	"Influenza A virus (A/environment/India/240005/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	India		2024-06-15
PQ109033.1	"Influenza A virus (A/chicken/India/240008/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	India	"Gallus gallus"	2024-06-15
PQ109041.1	"Influenza A virus (A/crow/India/240013/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	India	Corvus	2024-06-15
PQ191262.1	"Influenza A virus (A/Gallus gallus/El Marques/CPA-01708-23/2023(H5N2)) segment 4 hemagglutinin (HA) gene, complete cds"	Mexico	"Gallus gallus"	2023-02-14
PQ191270.1	"Influenza A virus (A/Gallus gallus/Teocuitatlan de Corona/CPA-04688-23/2023(H5N2)) segment 4 hemagglutinin (HA) gene, complete cds"	Mexico	"Gallus gallus"	2023-03-29
PQ500558.1	"Influenza A virus (A/South American Sea Lion, Otaria flavescens/Punta Loma Natural Reserve/NEC 85/2023(H5N1)) segment 4 hemagglutinin, HA2 region, (HA) gene, partial cds"	Argentina	"Otaria byronia"	2023-09-21
PQ500559.1	"Influenza A virus (A/South American Sea Lion, Otaria flavescens/Cerro Avanzado beach./NEC 86/2023(H5N1)) segment 4 hemagglutinin, HA2 region, (HA) gene, partial cds"	Argentina	"Otaria byronia"	2023-09-29
PQ500560.1	"Influenza A virus (A/Southern Elephant Seal, Mirounga leonina/Peninsula Valdes./NEC 94/2023(H5N1)) segment 4 hemagglutinin, HA2 region, (HA) gene, partial cds"	Argentina	"Mirounga leonina"	2023-10-12
PQ500561.1	"Influenza A virus (A/South American Sea Lion, Otaria flavescens/Kaiser beach/NEC 93/2023(H5N1)) segment 4 hemagglutinin, HA2 region, (HA) gene, partial cds"	Argentina	"Otaria byronia"	2023-08-29
PQ241674.1	"Influenza A virus (A/Seagull/Iraq/Dukan lack/2024(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds"	Iraq	Laridae	2024-05-XX
PP488313.1	"Influenza A virus (A/southern elephant seal/Argentina/CH-PD035/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Mirounga leonina"	2023-10-10
PP488321.1	"Influenza A virus (A/southern elephant seal/Argentina/CH-PM053/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Mirounga leonina"	2023-11-01
PP488329.1	"Influenza A virus (A/South American tern/Argentina/CH-PD030/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Sterna hirundinacea"	2023-10-10
PP488337.1	"Influenza A virus (A/royal tern/Argentina/CH-PD036/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Thalasseus maximus"	2023-10-10
PP488345.1	"Influenza A virus (A/South American tern/Argentina/CH-PD037/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Sterna hirundinacea"	2023-10-10
PQ002114.1	"Influenza A virus (A/Southern elephant seal/Peninsula Valdes/HA_CH-PD027/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Mirounga leonina"	2023-10-10
PQ002122.1	"Influenza A virus (A/Southern elephant seal/Peninsula Valdes/HA_CH-PD032_oral/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Mirounga leonina"	2023-10-10
PQ002130.1	"Influenza A virus (A/Southern elephant seal/Peninsula Valdes/HA_CH-PD032_tracheal/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Mirounga leonina"	2023-10-10
PQ002138.1	"Influenza A virus (A/Southern elephant seal/Peninsula Valdes/HA_CH-PD032_lung/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Mirounga leonina"	2023-10-10
PQ002146.1	"Influenza A virus (A/Southern elephant seal/Peninsula Valdes/HA_CH-PD032_brain/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Mirounga leonina"	2023-10-10
