name	title	country	host	date
CY030493.1	Influenza A virus (A/goose/Laos/NCVD-39/2007(H5N1)) segment 4 sequence	Laos	Anatidae	2007-XX-XX
CY030538.1	Influenza A virus (A/chicken/Vietnam/NCVD-45/2007(H5N1)) segment 4 sequence	Viet Nam	Gallus gallus	2007-XX-XX
CY035898.1	Influenza A virus (A/chicken/Vietnam/NCVD12/2005(H5N1)) segment 4, complete sequence	Viet Nam	Gallus gallus	2005-XX-XX
FJ390028.1	Influenza A virus (A/chicken/Astana/6/2005(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Kazakhstan	Gallus gallus	2005-06-XX
CY035241.1	Influenza A virus (A/falcon/Saudi Arabia/D1936/2007(H5N1)) segment 4 sequence	Saudi Arabia	Falco	2007-XX-XX
EU221249.1	Influenza A virus (A/duck/Nong-Khai/Thailand/KU-56/2007(H5N1)) hemagglutinin (HA) gene, partial cds	Thailand	Anatidae	2007-XX-XX
FJ265565.1	Influenza A virus (A/quail/Thailand/Phichit-01/2004(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Thailand	Galliformes	2004-XX-XX
FJ265566.1	Influenza A virus (A/pigeon/Thailand/Uttaradit-01/2004(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Thailand	Columbidae	2004-XX-XX
FJ265567.1	Influenza A virus (A/sparrow/Thailand/Phitsanulok-01/2004(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Thailand	Passeridae	2004-XX-XX
FJ265568.1	Influenza A virus (A/chicken/Sukhothai/NIAH6-3-0005/2005(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Thailand	Gallus gallus	2005-XX-XX
FJ265569.1	Influenza A virus (A/chicken/Nakornsawan/NIAH6-3-0009/2005(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Thailand	Gallus gallus	2005-XX-XX
FJ265570.1	Influenza A virus (A/duck/Uthaithani/NIAH6-3-0008/2005(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Thailand	Anatidae	2005-XX-XX
FJ265571.1	Influenza A virus (A/chicken/Thailand/Phitsanulok/NIAH6-3-0012/2005(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Thailand	Gallus gallus	2005-XX-XX
FJ265572.1	Influenza A virus (A/chicken/Uthaithani/NIAH6-3-0007/2005(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Thailand	Gallus gallus	2005-XX-XX
FJ265573.1	Influenza A virus (A/chicken/Thailand/Kamphaengphet/NIAH6-3-0006/2005(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Thailand	Gallus gallus	2005-XX-XX
FJ265574.1	Influenza A virus (A/chicken/Thailand/Kamphaengphet/NIAH6-3-0008/2005(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Thailand	Gallus gallus	2005-XX-XX
